dataset,image_path,mse,ssim
Chilli_Leaves,unknown_9,0.12660516798496246,0.31890594959259033
Chilli_Leaves,unknown_10,0.10941445082426071,0.2377351075410843
Chilli_Leaves,unknown_11,0.0445045568048954,0.34633028507232666
Chilli_Leaves,unknown_12,0.07895538955926895,0.2944750487804413
Chilli_Leaves,unknown_13,0.04075692594051361,0.6184002757072449
Chilli_Leaves,unknown_14,0.09871575981378555,0.3508094549179077
Chilli_Leaves,unknown_15,0.08709122240543365,0.27936115860939026
Chilli_Leaves,unknown_0,0.0802566185593605,0.27852699160575867
Chilli_Leaves,unknown_1,0.06729302555322647,0.321138858795166
Chilli_Leaves,unknown_2,0.08943892270326614,0.3252299129962921
Chilli_Leaves,unknown_3,0.08850003033876419,0.2866346538066864
Chilli_Leaves,unknown_4,0.13013127446174622,0.2957061231136322
Chilli_Leaves,unknown_5,0.07142157107591629,0.4150277078151703
Chilli_Leaves,unknown_6,0.09573783725500107,0.32203707098960876
Chilli_Leaves,unknown_7,0.04148357734084129,0.6077900528907776
Chilli_Leaves,unknown_8,0.08990836888551712,0.34531986713409424
Chilli_Leaves,unknown_9,0.11840225756168365,0.2869132459163666
Chilli_Leaves,unknown_10,0.06873057782649994,0.3959316909313202
Chilli_Leaves,unknown_11,0.115666463971138,0.30224788188934326
Chilli_Leaves,unknown_12,0.05288875848054886,0.34011849761009216
Chilli_Leaves,unknown_13,0.14291737973690033,0.3136332929134369
Chilli_Leaves,unknown_14,0.0778295248746872,0.413642555475235
Chilli_Leaves,unknown_15,0.11091656982898712,0.3154746890068054
